,marketPriceEth,marketPriceUsd,debtAvailableToSettle,erc20CoinTotalSupply,globalDebt,globalDebtCeiling,systemSurplus,totalActiveSafeCount,RedemptionRateAnnualizedRate,RedemptionRateHourlyRate,RedemptionRateEightHourlyRate,RedemptionPrice,RAIInUniswapV2(RAI/ETH),collateral,debt,ETH Price (OSM),block_number
363,-4.5296411139072665e-08,-0.03814812208429208,0.0,-30887.951969131827,-31193.052511885762,0.0,-39.93367103397031,0.0,0.0,0.0,0.0,0.00027854574181107594,-18762.063642583787,0.0,0.0,26.31726299999991,12244845
364,-6.202911368209489e-06,-0.02301771727809898,0.0,147297.79466529936,146828.07806894928,0.0,-56.44527626404306,3.0,0.0,0.0,0.0,0.0,210520.53587761894,0.0,0.0,-4.147771529999773,12244555
365,-2.418177092340483e-06,0.013810540623821144,0.0,-208275.5973368585,-208851.34225587547,0.0,-90.57407848979346,-1.0,0.027079017008727724,4.5574092851774495e-06,3.6447963204899736e-05,0.0002614119181130192,-100189.63587732613,0.0,0.0,0.0,12244320
366,0.0,0.0,0.0,11330.385531790555,11293.123513638973,0.0,0.0,2.0,0.0,0.0,0.0,0.0,6929.238403376192,0.0,0.0,26.25795825999967,12244018
367,0.0,0.0,0.0,-125683.97546382248,-124779.74458087981,0.0,-63.295567293214845,1.0,0.0,0.0,0.0,0.00012673036520416403,-206267.53794159368,0.0,0.0,-5.496176650000052,12243738
368,-4.536944292334727e-06,0.018297192943859564,0.0,801.2504818886518,798.6184008345008,0.0,0.0,2.0,0.0,0.0,0.0,0.00011950660068515973,7404.644937619567,0.0,0.0,-9.176815389999774,12243468
369,0.0,0.0,0.0,514602.5836176276,514409.4089257121,0.0,-26.56919407355599,5.0,0.03614698440501296,5.813176767843764e-06,4.6492673952958086e-05,0.0001256757793748342,508702.1711660959,0.0,0.0,15.946788039999774,12243242
370,1.9077785099026962e-05,0.026803856243430513,0.0,-128353.61358391494,-127548.84304044396,0.0,-64.59771584215923,4.0,0.0,0.0,0.0,0.00010803693634331424,24725.47970751673,0.0,0.0,-51.16334203999986,12242945
371,0.0,0.0,0.0,244725.5976960063,243550.44965793937,0.0,-30.572733132634312,1.0,0.0,0.0,0.0,0.00010621729661419721,261595.65060064197,0.0,0.0,-0.4104539599998134,12242693
372,1.1454631593720184e-05,0.01899346373788413,0.0,-94990.24741817266,-94749.55061636865,0.0,-34.519567923853174,1.0,0.0,0.0,0.0,0.00011445749826410889,-88042.82399183512,0.0,0.0,0.0,12242440
373,-2.564095231511951e-07,-0.037415896408539595,0.0,-500.0,-992.724988527596,0.0,-121.36628422539798,0.0,0.009679301342399471,1.5076638442135248e-06,1.2058315526197738e-05,0.00010838999199247468,9906.190299224108,0.0,-498.3620133223012,11.093965789999856,12242138
374,0.0,0.0,0.0,802.2602932527661,799.6377045288682,0.0,0.0,1.0,0.0,0.0,0.0,0.00020807774495423814,-164.9066738858819,0.0,0.0,9.670460660000117,12241864
375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-16545.47409104556,0.0,0.0,-12.410516339999958,12241588
376,2.460071778457012e-06,0.03276829383013258,0.0,-77777.0,-77629.555556342,0.0,-28.89925930876052,0.0,0.0,0.0,0.0,0.0001956521839057146,-81786.48091227934,0.0,0.0,-15.183910110000397,12241353
377,1.0719500204012071e-05,0.010019604089331668,0.0,-53784.0,-53832.93640977889,0.0,-35.912163530272665,0.0,-0.018123636534429277,-2.839428344003636e-06,-2.2709679892707335e-05,1.6451057267108382e-05,-154711.92685221508,0.0,0.0,-69.98999999999978,12241083
