date,DAI Supply,Max DAI Supply,ETH Freed from CDPs that are still open,ETH Freed from completely closed CDPs,Locks volume ETH,"Stability Fee Paid, ETH",closed CDPs,1 - 7 days WIPES,30 - 365 days WIPES,7 - 30 days WIPES,less than 1 day WIPES,more than 365 days WIPES,"Locked in CDPs, ETH"
2018-04-25,28908649.1260056,50000000,0.383633951069151,215.925205077924,4670.65627840556,0,6,6.44150972366333,106.332389831543,255.455307006836,4.65692090988159,0,165065.740485081
2018-04-26,29026274.1253588,50000000,32,105.846427260289,1474.84758951811,0,6,0.016674907878041,288.219818115234,69.5501022338867,1.61562991142273,0,164706.854400556
2018-04-27,29937093.5209132,50000000,0,1406.93796134126,10179.8713984041,0,1,0.751329064369202,489.724426269531,48.6346397399902,0,0,173431.305686431
2018-04-28,30131279.4889542,50000000,2.99984037992626,218.206594337933,1192.7199279635,0,2,46.9743499755859,59.6561470031738,379.643829345703,0.22252881526947,0,174400.008065356
2018-04-29,30303321.3787274,50000000,0,69.9850337335437,339.779888973079,0,0,0,1.81710457801819,22.0300388336182,0,0,174668.915373121
2018-04-30,30177452.4125825,50000000,0,3766.44172920271,1568.03670704243,0,2,0.744693756103516,101.166648864746,676.934265136719,0,0,172421.17647335
2018-05-01,30383390.6353125,50000000,0,446.035532730491,858.623486688953,0,4,70.0908584594727,109.526664733887,77.2690048217774,0,0,171686.789934888
2018-05-02,30554184.8238125,50000000,0,1066.51273282724,1193.86792053671,0,0,0,8.49819374084473,3.01832389831543,0.026373704895377,22.7961711883545,171800.544535535
2018-05-03,31157630.3382331,50000000,0,2501.10768485108,1239.01349794248,0,7,0,353.528167724609,37.7051849365234,0.00538167078048,0,170444.208414085
2018-05-04,31739593.4238106,50000000,0.666,298.796027222001,1329.53033153885,0,3,0,29.6508617401123,160.243621826172,1.27279305458069,0,171409.484743748
2018-05-05,31924874.9071133,50000000,6.4608493308973,855.803402662617,533.127251567469,0,3,0,285.393676757812,6.00544452667236,12.5067291259766,0,171043.82612652
2018-05-06,32278297.3496107,50000000,3,84.6787476953246,684.485071443456,0,2,0,38.2506790161133,1.08231031894684,0.328314214944839,0,171631.68615213
2018-05-07,32733619.5521243,50000000,0.5563,155.795694180963,1876.42644417645,0,8,70.6083602905273,22.5966243743896,89.3613128662109,40.7251663208008,0,172990.011405312
2018-05-08,33238700.0415134,50000000,0,0.01,3181.47521923487,0,0,8.02889537811279,4.53086709976196,4.53498792648315,0.200722396373749,0,176171.476497585
2018-05-09,33866839.4646928,50000000,30,90.05,1160.10470764198,0,4,18.2568321228027,17.3440494537354,1.60389649868011,0,43.6811599731445,177196.866221081
2018-05-10,34494042.8450723,50000000,0,26.6,1215.23868913899,0,0,0,0.391851961612701,22.7635898590088,3.98643779754639,0,178385.167192713
2018-05-11,34942766.9365716,50000000,0,249.94,2071.51696121387,0,1,0.096439577639103,23.5111560821533,56.8516540527344,64.4373550415039,14.8723001480103,180189.024546143
2018-05-12,35456903.2441876,50000000,128.66,129.617625229831,2013.49978541206,0,3,0.373970150947571,154.021682739258,10.541672706604,2.14004969596863,1.49588060379028,181830.967111514
2018-05-13,35710255.7537144,50000000,0,82.590194296444,820.471501466332,0,0,7.03879404067993,40.7462921142578,15.6681337356567,0,0.42164072394371,182567.797842802
2018-05-14,35642960.763521,50000000,97.6302242222892,541.079464534037,950.447996257458,0,6,56.7909927368164,201.123321533203,13.9001474380493,5.09449148178101,0,182843.868595475
2018-05-15,35891566.8286378,50000000,0,35.3064611077425,537.284235949587,0,1,0.103944443166256,9.77109909057617,42.0836410522461,0.1524518430233,0,183345.361491543
2018-05-16,35978538.3238701,50000000,0,150.398246485708,460.460417166889,0,1,0,202.675262451172,37.7909088134766,0,0.410207152366638,183653.517542898
2018-05-17,37066773.9549573,50000000,0.4,280.162045196338,1180.61718389131,0,1,22.4658432006836,97.1819000244141,1.48535454273224,0.028988184407353,0.391528904438019,184549.880992608
