__timestamp,Locked Amount,Accumulated Lock,Accumulated Free
2019-08-10,1334542.4877285087,4910960.35937406,3576417.8716455516
2019-08-09,1318746.1587453363,4893783.855051567,3575037.6963062305
2019-08-08,1314959.3462510211,4889207.279215256,3574247.9329642346
2019-08-07,1314605.362015854,4888074.289158574,3573468.92714272
2018-11-21,1314486.7635506839,1794452.9678949702,479966.20434428635
2019-08-06,1311219.7389089903,4882745.288934681,3571525.5500256903
2018-11-20,1283083.5071768714,1758166.2416922615,475082.73451539024
2018-11-19,1209388.027340204,1592172.2625786208,382784.23523841676
2019-12-03,1178655.8466866324,7317765.808916339,6139109.962229706
2019-12-04,1167110.8114418266,7351896.9568686,6184786.1454267735
2019-12-05,1147760.8308631647,7381727.298904251,6233966.468041087
2018-11-18,1131927.4390739514,1491141.1067070796,359213.6676331282
2018-11-17,1131756.8344313481,1487407.955991405,355651.1215600569
2018-11-16,1124385.5529920175,1479215.0595198765,354829.50652785914
2019-12-07,1091384.7832299136,7433324.628219535,6341939.844989621
2019-12-06,1083855.6462002844,7397083.328026584,6313227.6818263
2018-11-15,1083840.741503336,1438432.4104721355,354591.6689687996
2019-12-08,1060468.067932493,7443572.870657657,6383104.802725164
2019-12-09,1041232.0552900033,7453569.748474373,6412337.693184369
2018-11-14,1025744.656773907,1370237.9574331401,344493.3006592331
2019-12-10,1011805.0814253362,7483434.756076044,6471629.674650708
2018-11-13,1004720.8145258082,1345758.810048516,341037.99552270776
2018-11-12,993741.0149224612,1334729.090852942,340988.0759304809
2018-11-11,991645.9766761794,1332077.4086839273,340431.4320077478
2018-11-10,991546.7240570112,1331928.9726643835,340382.2486073723
2018-11-09,989126.1042454019,1329501.3652271652,340375.2609817633
2018-11-08,986600.3625034126,1326703.194287764,340102.8317843513
2018-11-07,973922.3947026832,1313895.6216424054,339973.22693972214
2018-11-06,973647.4545154008,1311643.7187032697,337996.2641878689
2019-12-11,957027.8461504215,7483704.025341815,6526676.179191394
2018-11-05,947045.6487308873,1283927.878365983,336882.22963509563
2018-11-04,945188.9668931682,1281070.6908307539,335881.72393758566
2018-11-03,944004.8009916358,1278466.7978437045,334461.9968520687
2018-11-02,943203.8435813091,1277622.184726245,334418.3411449359
2018-11-01,941707.9152606649,1276105.2938048532,334397.3785441884
2018-10-31,940307.9604408329,1274577.9198125568,334269.95937172393
2018-10-30,938574.8615350595,1272800.0626889844,334225.20115392486
2018-10-29,937045.1040836462,1271200.286077666,334155.1819940199
2019-12-12,931971.838870924,7490604.161954679,6558632.323083755
2018-10-28,930491.8889485659,1264018.1055942,333526.21664563415
2018-10-27,927314.5659460477,1260615.5657156904,333300.9997696428
2019-12-13,925489.9490466518,7497309.356140667,6571819.407094015
2018-10-26,925237.7616237467,1258477.9813794072,333240.21975566057
2018-10-25,922695.5889862531,1255604.1568010303,332908.5678147771
2018-10-24,919833.0138343971,1252621.2007275925,332788.1868931953
2018-10-23,913637.9953598736,1246408.2725909704,332770.2772310967
2019-12-14,901527.2207615767,7521725.214816042,6620197.994054466
2019-12-15,901279.1611884944,7531212.552123225,6629933.390934731
2019-12-17,899026.6794763291,7678541.855154679,6779515.17567835
2019-12-16,893833.8924656687,7549490.663314367,6655656.770848698
2019-12-18,889229.5660365596,7704921.754600395,6815692.188563836
2019-12-19,886759.9450899307,7744828.317145342,6858068.372055411
2018-10-22,881078.4921244916,1213587.9288264413,332509.43670194974
2019-12-20,880423.4219920756,7752339.427846646,6871916.00585457
2018-10-21,878834.2911393325,1211288.4284296809,332454.1372903484
