__timestamp,Minted DAI,Burnt DAI,Total Supply
2019-10-14,427904927.5698064,343367916.86579084,84537010.70401555
2019-10-13,427270218.9407275,342524014.7504606,84746204.19026685
2019-10-12,427085015.2731391,342476684.0292661,84608331.243873
2019-10-11,426975458.9216172,342347611.21257544,84627847.70904177
2019-10-10,426725712.0831141,341281465.08129984,85444247.00181425
2019-10-09,425488845.52995354,341037935.32588476,84450910.20406878
2019-10-08,422698193.5157189,340697743.6810774,82000449.83464146
2019-10-07,422275265.4865842,340545117.60959005,81730147.87699413
2019-10-06,421620893.78365207,340350841.1499316,81270052.63372046
2019-10-05,421349146.13812816,340176873.71134275,81172272.42678541
2019-10-04,421133720.85182565,339727312.2769402,81406408.57488543
2019-10-03,420367711.78865045,339537760.7395204,80829951.04913008
2019-10-02,420104004.7920912,339314819.5832618,80789185.2088294
2019-10-01,419670860.63025033,339253631.2983457,80417229.33190465
2019-09-30,419107063.23170185,339020443.15616566,80086620.07553619
2019-09-29,418422188.0320008,338828378.1928748,79593809.83912599
2019-09-28,418286410.65289617,338658436.53597283,79627974.11692333
2019-09-27,418061215.0913028,338513205.3385375,79548009.7527653
2019-09-26,417452454.4139857,337876459.2583127,79575995.15567303
2019-09-25,416644537.42947835,336290979.52694297,80353557.90253538
2019-09-24,415995796.445952,335405235.86212647,80590560.58382553
2019-09-23,413349689.6625572,327293390.5376638,86056299.12489337
2019-09-22,413127085.00335777,326670101.40894574,86456983.59441203
2019-09-21,412978725.3942812,326621999.99917144,86356725.39510977
2019-09-20,412796861.4067739,326418646.39279705,86378215.01397687
2019-09-19,412218512.17462873,326324508.53038543,85894003.6442433
2019-09-18,411686111.5572712,325989182.0051008,85696929.5521704
2019-09-17,411121383.77783114,325793367.81366754,85328015.9641636
2019-09-16,409252954.3414315,325254534.5824072,83998419.75902432
2019-09-15,408236594.9134851,324727508.5700381,83509086.34344703
2019-09-14,403881008.3170408,324634790.2306833,79246218.08635747
2019-09-13,403604263.0117949,324549885.96710324,79054377.04469168
2019-09-12,403346635.20800495,324325670.0487238,79020965.15928113
2019-09-11,403204205.9720964,324213261.69335437,78990944.27874202
2019-09-10,402874810.3805256,324078885.88454133,78795924.49598426
2019-09-09,402632412.1060068,323941715.01422566,78690697.09178114
2019-09-08,401656686.80888844,323751802.11229956,77904884.69658887
2019-09-07,401298589.32477325,323582329.2946547,77716260.03011853
2019-09-06,400741043.7117868,323383894.48250276,77357149.22928405
2019-09-05,400457097.5405336,323240596.54970276,77216500.99083084
2019-09-04,400150651.032586,322826117.6952969,77324533.3372891
2019-09-03,399898382.1311928,322699186.2651041,77199195.86608869
2019-09-02,399311496.81743574,322597346.89859134,76714149.9188444
2019-09-01,398948798.44139415,322349832.56365544,76598965.87773871
2019-08-31,398729716.5928191,321833642.2159106,76896074.37690848
2019-08-30,398621592.3637045,321662271.427541,76959320.93616349
2019-08-29,398365624.22112465,321149253.6901762,77216370.53094846
2019-08-28,397689320.2644524,320104625.8583071,77584694.40614527
2019-08-27,397322893.1124771,318402085.3446757,78920807.7678014
2019-08-26,396581785.2053784,318277699.6953158,78304085.51006263
2019-08-25,396357157.6088688,318129943.30216825,78227214.30670053
2019-08-24,396151370.4850074,317836314.5935743,78315055.89143312
2019-08-23,396132054.59646004,317774076.6228558,78357977.97360426
2019-08-22,395944037.4168235,317427672.9634194,78516364.45340413
2019-08-21,395853295.12231606,317345128.77116567,78508166.3511504
2019-08-20,395644949.08078843,317104950.250841,78539998.82994741
2019-08-19,395465426.9478605,317017569.9161802,78447857.03168029
2019-08-18,395174188.864024,316833823.8851578,78340364.97886616
2019-08-17,394897173.747875,316674033.99167454,78223139.75620043
2019-08-16,394756164.5649576,316304607.33509785,78451557.22985977
2019-08-15,394508256.3544527,316115863.07513857,78392393.27931416
2019-08-14,393108555.2371371,314554874.4398044,78553680.7973327
2019-08-13,391945715.8324535,313211056.684925,78734659.14752847
2019-08-12,391455341.26624554,312942228.4326672,78513112.83357835
2019-08-11,391313525.14054555,312877888.62765515,78435636.5128904
2019-08-10,391144033.36933225,312841197.0687148,78302836.30061746
2019-08-09,389785772.4814486,312551265.4748339,77234507.00661469
2019-08-08,389394770.6452668,312289705.27352154,77105065.37174523
2019-08-07,389008923.90228385,312032391.22967935,76976532.6726045
2019-08-06,387721707.9290036,311767564.8265249,75954143.10247868
2019-08-05,387407973.9358614,310378049.0973057,77029924.8385557
2019-08-04,387085814.2789968,309965269.7519377,77120544.52705914
2019-08-03,387017757.9208557,309921679.0865085,77096078.83434719
2019-08-02,386804082.5341155,309727157.0601954,77076925.4739201
2019-08-01,386429430.3828296,309303767.68678665,77125662.69604295
2019-07-31,386182982.5639209,308806788.28031695,77376194.28360397
2019-07-30,385564409.61125094,308308961.2544575,77255448.35679346
2019-07-29,384956412.37738335,307968666.9731006,76987745.40428275
2019-07-28,384279148.7751673,307408674.4118106,76870474.36335671
2019-07-27,383585625.8420211,307239732.25467354,76345893.58734757
2019-07-26,383090388.3966036,306929103.14657146,76161285.25003213
2019-07-25,381567131.75808585,303433731.5618513,78133400.19623452
2019-07-24,381099758.7379198,302173180.9267366,78926577.81118321
2019-07-23,379776938.24917793,300750556.5077579,79026381.74142003
2019-07-22,379079797.784593,298906133.37346953,80173664.41112345
2019-07-21,378453285.7585031,296144655.327133,82308630.43137008
2019-07-20,377818075.49544215,295620448.28013426,82197627.21530789
2019-07-19,377252371.2435928,294681374.1914367,82570997.05215609
2019-07-18,376940609.1517123,292434770.7818188,84505838.36989349
2019-07-17,376083435.73432946,290699948.46217895,85383487.27215052
2019-07-16,374906614.4708378,289315202.6003149,85591411.87052286
2019-07-15,372000698.2179074,286571906.8208092,85428791.39709824
2019-07-14,369806888.2208601,281536670.73758477,88270217.48327535
2019-07-13,367559775.94290566,276896699.9517178,90663075.99118787
2019-07-12,367075335.8243361,276158890.3073823,90916445.51695383
2019-07-11,366694484.50451386,274939479.48813933,91755005.01637453
2019-07-10,364758657.5761355,273387218.7316438,91371438.84449172
2019-07-09,363680432.20419824,272306830.065428,91373602.13877022
2019-07-08,361967560.74779344,271657832.9567395,90309727.79105395
2019-07-07,361304107.2639542,271158218.7780279,90145888.48592633
2019-07-06,360486283.62107676,270796141.70743984,89690141.91363692
2019-07-05,360202094.74753183,270004056.34364545,90198038.40388638
2019-07-04,359729417.09819245,269624783.9386143,90104633.15957814
2019-07-03,359397669.17885494,268818172.7810445,90579496.39781046
2019-07-02,358753857.61229664,268568030.06517875,90185827.54711789
2019-07-01,357724987.24140984,267523552.95082387,90201434.29058596
2019-06-30,356426799.4359674,266835612.4442673,89591186.99170008
2019-06-29,355212422.88095605,266120178.2628488,89092244.61810726
2019-06-28,354024717.0472046,265543450.8594457,88481266.18775892
2019-06-27,352322135.2025958,264433269.32526237,87888865.8773334
2019-06-26,348010294.9846312,261591038.6560101,86419256.32862109
2019-06-25,344811787.8226188,259681227.82256925,85130560.00004953
2019-06-24,343530526.38360345,257389497.03254604,86141029.35105741
2019-06-23,342346938.9740334,256816440.6436512,85530498.33038223
2019-06-22,341051925.94890505,255929216.93746337,85122709.01144168
2019-06-21,339038267.0750945,253461803.25649464,85576463.81859988
2019-06-20,338015352.3076988,252263423.43706834,85751928.87063044
2019-06-19,337444257.0499666,251880942.81112906,85563314.23883751
2019-06-18,336640827.5322663,251538948.3606512,85101879.17161512
2019-06-17,335936685.2921737,251312830.14012688,84623855.1520468
2019-06-16,335056474.3691876,250833722.3397276,84222752.02945998
2019-06-15,333770780.0341322,250216381.22886926,83554398.80526292
2019-06-14,333279962.8945539,249729659.4869549,83550303.407599
2019-06-13,332843441.67562366,249555275.8358941,83288165.83972955
2019-06-12,332023024.97651446,249402347.08789825,82620677.8886162
2019-06-11,331607486.67040575,249226694.232568,82380792.43783775
2019-06-10,331370098.93154633,248987706.63953277,82382392.29201356
2019-06-09,330654117.8602815,248162640.44443268,82491477.41584885
2019-06-08,330183212.0443978,247610076.47523743,82573135.56916034
2019-06-07,329911662.6443978,247285276.78818431,82626385.85621348
2019-06-06,329610863.83530176,247104136.62243918,82506727.21286258
2019-06-05,329232122.25859696,246880109.18732008,82352013.07127687
2019-06-04,328913580.9418445,246629373.85156435,82284207.09028018
2019-06-03,326472398.5481631,244740425.37624642,81731973.1719167
2019-06-02,325987102.59363085,244032190.16466025,81954912.4289706
2019-06-01,325537170.08525884,243713223.07992584,81823947.005333
2019-05-31,324986461.8014273,243175024.82265723,81811436.97877008
2019-05-30,323586166.36310154,242656709.88342974,80929456.4796718
2019-05-29,321397360.23933095,240849830.8861426,80547529.35318834
2019-05-28,320850198.5317621,240516357.74787265,80333840.78388947
2019-05-27,320222291.3156848,239524147.92509255,80698143.39059225
2019-05-26,319418359.94008905,238740002.46882078,80678357.47126827
2019-05-25,318756047.4016323,237408031.59499168,81348015.80664062
2019-05-24,318552304.16927457,236172095.42104733,82380208.74822724
2019-05-23,316469868.30301493,235280847.05004957,81189021.25296536
