date,p,p_star,p_hat,e_hat,e_star,cumsum_e_hat,cumsum_e_star,delta_e_hat,delta_e_star,y
2018-10-12,0.997431324354368,1,1.000451519489288,0.003020195134920023,0.0025686756456320126,0.05589552366235606,-0.8588356844235977,0.016951004310324147,0.016426426215842005,1.00183628356124
2018-10-13,1.00183628356124,1,1.001005787849426,-0.0008304957118139278,-0.001836283561239993,0.055065027950542134,-0.8606719679848377,-0.0038506908467339507,-0.004404959206872006,1.01129069599846
2018-10-14,1.01129069599846,1,1.0012767052650449,-0.010013990733415135,-0.011290695998459999,0.045051037217127,-0.8719626639832977,-0.009183495021601207,-0.009454412437220006,1.02355924268734
2018-10-15,1.02355924268734,1,1.0036193394660948,-0.01993990322124528,-0.02355924268734011,0.025111133995881718,-0.8955219066706378,-0.009925912487830146,-0.012268546688880111,1.01818529765862
2018-10-16,1.01818529765862,1,1.0038884902000424,-0.014296807458577643,-0.018185297658620092,0.010814326537304075,-0.9137072043292579,0.005643095762667638,0.0053739450287200174,1.01092084536822
2018-10-17,1.01092084536822,1,1.0043048918247222,-0.0066159535434977546,-0.010920845368219911,0.004198372993806321,-0.9246280496974778,0.007680853915079888,0.007264452290400181,1.00061635642546
2018-10-18,1.00061635642546,1,1.0051153397560115,0.0044989833305515425,-0.0006163564254599851,0.008697356324357863,-0.9252444061229378,0.011114936874049297,0.010304488942759926,1.00375571652728
2018-10-19,1.00375571652728,1,1.0060861718654628,0.0023304553381828796,-0.0037557165272799065,0.011027811662540743,-0.9290001226502177,-0.002168527992368663,-0.0031393601018199213,0.989374437628261
2018-10-20,0.989374437628261,1,1.0064947378635405,0.01712030023527944,0.01062556237173895,0.028148111897820183,-0.9183745602784787,0.01478984489709656,0.014381278899018857,1.00039209412301
2018-10-21,1.00039209412301,1,1.006218596696853,0.005826502573843095,-0.00039209412301000057,0.03397461447166328,-0.9187666544014887,-0.011293797661436344,-0.01101765649474895,0.996443808853042
2018-10-22,0.996443808853042,1,1.0064657235145567,0.010021914661514697,0.003556191146958043,0.043996529133177975,-0.9152104632545307,0.004195412087671602,0.003948285269968044,0.994112699646088
2018-10-23,0.994112699646088,1,1.0059515714645384,0.011838871818450447,0.0058873003539120505,0.05583540095162842,-0.9093231629006187,0.00181695715693575,0.0023311092069540074,0.98550669350041
2018-10-24,0.98550669350041,1,1.0043871903419492,0.01888049684153925,0.01449330649959002,0.07471589779316767,-0.8948298564010286,0.0070416250230888044,0.008606006145677969,0.9972892790023442
2018-10-25,0.9972892790023442,1,1.0027928185462949,0.005503539543950664,0.002710720997655791,0.08021943733711834,-0.8921191354033728,-0.013376957297588588,-0.011782585501934228,0.9971513725941692
2018-10-26,0.9971513725941692,1,0.9993544948101042,0.002203122215934994,0.002848627405830806,0.08242255955305333,-0.889270507997542,-0.00330041732801567,0.00013790640817501476,1.00448806534057
2018-10-27,1.00448806534057,1,0.9985788202285766,-0.005909245111993311,-0.004488065340569891,0.07651331444106002,-0.8937585733381119,-0.008112367327928305,-0.007336692746400697,1.00013897570505
2018-10-28,1.00013897570505,1,0.9975160586833951,-0.002622917021654958,-0.00013897570505005952,0.07389039741940506,-0.893897549043162,0.003286328090338353,0.004349089635519832,0.9978703600566468
2018-10-29,0.9978703600566468,1,0.9963929951190946,-0.001477364937552128,0.0021296399433532454,0.07241303248185293,-0.8917679090998087,0.00114555208410283,0.002268615648403305,0.994881431466952
2018-10-30,0.994881431466952,1,0.9967277073860165,0.0018462759190644995,0.00511856853304804,0.07425930840091743,-0.8866493405667607,0.0033236408566166276,0.002988928589694795,0.9971264263866948
2018-10-31,0.9971264263866948,1,0.9964234662055969,-0.0007029601810979447,0.0028735736133052026,0.07355634821981949,-0.8837757669534555,-0.002549236100162444,-0.0022449949197428376,1.00008165135989
